model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,conf_threshold
SegFormer-B2,Sunset-EXTRASUNNY,17,motorcycle,0.5561425701317062,13439.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,18,bicycle,0.7527250328075202,37339.0,0.8
SegFormer-B2,Sunset-FOGGY,0,road,0.9807661700752176,55618356.0,0.8
SegFormer-B2,Sunset-FOGGY,1,sidewalk,0.6918920798793711,2415342.0,0.8
SegFormer-B2,Sunset-FOGGY,2,building,0.9328107866425875,23220126.0,0.8
SegFormer-B2,Sunset-FOGGY,3,wall,0.6303385189667019,2437825.0,0.8
SegFormer-B2,Sunset-FOGGY,4,fence,0.6974435112895003,1698658.0,0.8
SegFormer-B2,Sunset-FOGGY,5,pole,0.8267207275234327,974704.0,0.8
SegFormer-B2,Sunset-FOGGY,6,traffic light,0.5589268910951933,52073.0,0.8
SegFormer-B2,Sunset-FOGGY,7,traffic sign,0.49656326579403504,234234.0,0.8
SegFormer-B2,Sunset-FOGGY,8,vegetation,0.8746046332506455,22975187.0,0.8
SegFormer-B2,Sunset-FOGGY,9,terrain,0.5189155995994906,1652895.0,0.8
SegFormer-B2,Sunset-FOGGY,10,sky,0.833036048238047,46723948.0,0.8
SegFormer-B2,Sunset-FOGGY,11,person,0.3910964949146844,95176.0,0.8
SegFormer-B2,Sunset-FOGGY,12,rider,0.7168067226890756,17850.0,0.8
SegFormer-B2,Sunset-FOGGY,13,car,0.9178512210169609,3642087.0,0.8
SegFormer-B2,Sunset-FOGGY,14,truck,0.8177850918569143,286206.0,0.8
SegFormer-B2,Sunset-FOGGY,15,bus,0.5252214031069026,61991.0,0.8
SegFormer-B2,Sunset-FOGGY,16,train,0.24252699499604952,91128.0,0.8
SegFormer-B2,Sunset-FOGGY,17,motorcycle,0.0,13439.0,0.8
SegFormer-B2,Sunset-FOGGY,18,bicycle,0.7739628806341895,37339.0,0.8
SegFormer-B2,Sunset-RAIN,0,road,0.9775444279582806,55618356.0,0.8
SegFormer-B2,Sunset-RAIN,1,sidewalk,0.7212299541845419,2415342.0,0.8
SegFormer-B2,Sunset-RAIN,2,building,0.9492541513340625,23220126.0,0.8
SegFormer-B2,Sunset-RAIN,3,wall,0.5276642088747141,2437825.0,0.8
SegFormer-B2,Sunset-RAIN,4,fence,0.8185461699765344,1698658.0,0.8
SegFormer-B2,Sunset-RAIN,5,pole,0.8736929365222673,974704.0,0.8
SegFormer-B2,Sunset-RAIN,6,traffic light,0.7539991934399785,52073.0,0.8
SegFormer-B2,Sunset-RAIN,7,traffic sign,0.7638003022618407,234234.0,0.8
SegFormer-B2,Sunset-RAIN,8,vegetation,0.9364683299422112,22975187.0,0.8
SegFormer-B2,Sunset-RAIN,9,terrain,0.7566324539671304,1652895.0,0.8
SegFormer-B2,Sunset-RAIN,10,sky,0.9827663321601162,46723948.0,0.8
SegFormer-B2,Sunset-RAIN,11,person,0.73232747751534,95176.0,0.8
SegFormer-B2,Sunset-RAIN,12,rider,0.7024089635854341,17850.0,0.8
SegFormer-B2,Sunset-RAIN,13,car,0.8998464342010501,3642087.0,0.8
SegFormer-B2,Sunset-RAIN,14,truck,0.7942600784050649,286206.0,0.8
SegFormer-B2,Sunset-RAIN,15,bus,0.5255117678372667,61991.0,0.8
SegFormer-B2,Sunset-RAIN,16,train,0.13477745588622597,91128.0,0.8
SegFormer-B2,Sunset-RAIN,17,motorcycle,0.053724235434184094,13439.0,0.8
SegFormer-B2,Sunset-RAIN,18,bicycle,0.6691662872599695,37339.0,0.8
