model,location_key,sec_condition,sec_illumination,sec_weather,pixel_agreement_masked,conf_threshold
SegFormer-B0,1201777,Day-FOGGY,Day,FOGGY,0.945636510848999,0.8
SegFormer-B0,1201777,Day-RAIN,Day,RAIN,0.9744041562080383,0.8
SegFormer-B0,1201777,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.911552906036377,0.8
SegFormer-B0,1201777,Sunset-FOGGY,Sunset,FOGGY,0.7826331257820129,0.8
SegFormer-B0,1201777,Sunset-RAIN,Sunset,RAIN,0.8557136654853821,0.8
SegFormer-B0,1201777,Night-EXTRASUNNY,Night,EXTRASUNNY,0.5706655979156494,0.8
SegFormer-B0,1201777,Night-FOGGY,Night,FOGGY,0.5376678109169006,0.8
SegFormer-B0,1201777,Night-RAIN,Night,RAIN,0.4730609953403473,0.8
SegFormer-B0,1297251,Day-FOGGY,Day,FOGGY,0.9092584252357483,0.8
SegFormer-B0,1297251,Day-RAIN,Day,RAIN,0.9478534460067749,0.8
SegFormer-B0,1297251,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9297191500663757,0.8
SegFormer-B0,1297251,Sunset-FOGGY,Sunset,FOGGY,0.8301243782043457,0.8
SegFormer-B0,1297251,Sunset-RAIN,Sunset,RAIN,0.9602407813072205,0.8
SegFormer-B0,1297251,Night-EXTRASUNNY,Night,EXTRASUNNY,0.7635124921798706,0.8
SegFormer-B0,1297251,Night-FOGGY,Night,FOGGY,0.4819410741329193,0.8
SegFormer-B0,1297251,Night-RAIN,Night,RAIN,0.6837694644927979,0.8
SegFormer-B0,1314425,Day-FOGGY,Day,FOGGY,0.9858463406562805,0.8
SegFormer-B0,1314425,Day-RAIN,Day,RAIN,0.9432873725891113,0.8
SegFormer-B0,1314425,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.925233781337738,0.8
SegFormer-B0,1314425,Sunset-FOGGY,Sunset,FOGGY,0.8263531923294067,0.8
SegFormer-B0,1314425,Sunset-RAIN,Sunset,RAIN,0.9480334520339966,0.8
SegFormer-B0,1314425,Night-EXTRASUNNY,Night,EXTRASUNNY,0.8436713218688965,0.8
SegFormer-B0,1314425,Night-FOGGY,Night,FOGGY,0.6544841527938843,0.8
SegFormer-B0,1314425,Night-RAIN,Night,RAIN,0.8323311805725098,0.8
SegFormer-B0,13331910,Day-FOGGY,Day,FOGGY,0.9113636016845703,0.8
SegFormer-B0,13331910,Day-RAIN,Day,RAIN,0.9252746105194092,0.8
SegFormer-B0,13331910,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8374687433242798,0.8
SegFormer-B0,13331910,Sunset-FOGGY,Sunset,FOGGY,0.8222639560699463,0.8
SegFormer-B0,13331910,Sunset-RAIN,Sunset,RAIN,0.9134613275527954,0.8
SegFormer-B0,13331910,Night-EXTRASUNNY,Night,EXTRASUNNY,0.935061514377594,0.8
SegFormer-B0,13331910,Night-FOGGY,Night,FOGGY,0.8277420401573181,0.8
SegFormer-B0,13331910,Night-RAIN,Night,RAIN,0.8515722155570984,0.8
SegFormer-B0,13551916,Day-FOGGY,Day,FOGGY,0.92013019323349,0.8
SegFormer-B0,13551916,Day-RAIN,Day,RAIN,0.9347400069236755,0.8
SegFormer-B0,13551916,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8971385359764099,0.8
