model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,conf_threshold
Mask2Former-Swin-L,Sunset-EXTRASUNNY,13,car,0.8206005095430299,3737859.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,14,truck,0.7814395857328593,539169.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,15,bus,0.0,879.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,16,train,0.0,11994.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,17,motorcycle,0.6923797970886635,18136.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,18,bicycle,0.13836552048987283,25476.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,0,road,0.9954395768188996,49153991.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,1,sidewalk,0.8218900992181402,1416878.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,2,building,0.9424704482533843,17784651.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,3,wall,0.6720443374472672,2540877.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,4,fence,0.8408341224014902,1292664.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,5,pole,0.799651797200872,1155074.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,6,traffic light,0.8594852582689693,38971.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,7,traffic sign,0.5870207791061897,181336.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,8,vegetation,0.9249914969123612,18810814.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,9,terrain,0.7415326601690531,2825858.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,10,sky,0.9647175157672407,43586415.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,11,person,0.8083267938911549,115963.0,0.8
Mask2Former-Swin-L,Sunset-FOGGY,12,rider,0.6210359536867763,41025.0,0.8
