location_id,scenario_counter,x,y,global_time,scene_sampling_time,semantic_scene_construction_time,condition_wise_rendering_time,pipeline_time
30,942708,1017.596993092774,216.18473283778212,1068.9335857,0.0002545999998346815,5.962450900000022,24.107623800000056,30.070335699999987
31,9001412,-710.6137017746605,47.70009446054337,1102.67339,0.00034330000016780104,5.008225899999843,24.78262679999989,29.791219400000045
32,2001016,959.7363767131174,-734.9378085686883,1136.5372992,0.0002967999998872983,6.312557200000128,23.433617299999923,29.746477499999855
33,12721092,-64.02061339467878,7.521948985451218,1168.0148346,0.0002520000000458822,4.132028399999854,23.128740400000197,27.261027600000034
34,284849,1153.9783025739193,-1185.6642048960614,1200.7646195,0.00026789999992615776,4.781586699999934,23.968889799999943,28.750750400000015
35,1052898,-114.71437442839078,1114.8451929499133,1233.7355967,0.00024780000012469827,4.604048999999804,23.826737500000036,28.431039800000008
36,878245,794.0024567754228,-419.60627993285425,1266.5924014,0.00034319999986109906,5.269881400000031,24.107832199999848,29.378065099999958
37,1028396,403.41815622258196,457.5123455778862,1301.1467584,0.0002844000000550295,6.340433200000007,24.33238090000009,30.673103899999887
38,972459,-510.5672631763524,920.4522513343741,1331.2022628,0.0002248999999210355,2.8329429000000346,23.64799139999991,26.481164199999967
39,173704,1389.5102506832022,-1151.5985493991298,1362.4137474,0.0002199000000473461,4.1287534000000505,23.63203129999988,27.761011000000053
40,387253,629.7526257298939,-1531.6432482261102,1396.8867375,0.0001912000000174885,5.2348804000000655,24.68090260000008,29.915980699999864
41,793595,-646.2759316524939,-1193.46371973327,1433.2274562,0.0002836999999544787,6.888220300000057,25.233714799999916,32.122225399999934
42,706443,1068.4682359589697,-1055.0527344840766,1463.3206906,0.00034899999991466757,2.9293188000001464,23.17262249999999,26.102297399999998
43,1043219,637.1546559810649,-1981.1104370449102,1495.4714435,0.00022769999986849143,4.355450599999813,23.794530899999927,28.15021589999992
44,1024696,88.58418268164837,-1811.3634470900531,1526.6381696,0.00041290000012850214,4.568289800000002,22.98859369999991,27.55730430000017
45,947707,931.7871133136318,-251.51141265378828,1562.0832033,0.00024450000000797445,11.308523199999854,20.21018809999987,31.518963499999927
46,316959,-573.8764377584056,-1207.2468641177265,1594.8956705,0.0003793000000769098,5.161279800000102,23.46559819999993,28.62726429999998
47,1190669,733.3353040102493,987.5490613198572,1628.8129527,0.00028449999990698416,7.25257160000001,23.009629399999994,30.262491400000044
48,50328,-184.2738012604242,-871.1195702577913,1661.3145563,0.00022889999991093646,5.938485599999922,23.180159700000104,29.1188810000001
