model,reference_model,loc_id,sec_condition,pixel_agreement_masked,metric_type,reference_input_source,model_input_source,adapter_input_norm,conf_threshold,coverage_masked,coverage_ref_masked,clean_path,sec_path
DeepLabV3+-R101,SegFormer-B5,10901081,Day-FOGGY,0.9174049616993196,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9857290387153625,0.9857290387153625,/home/ace/Downloads/Dataset/Day/10901081_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/10901081_Day_FOGGY.png
DeepLabV3+-R101,SegFormer-B5,11101250,Sunset-FOGGY,0.8544704573195472,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9681611657142639,0.9681611657142639,/home/ace/Downloads/Dataset/Day/11101250_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/11101250_Sunset_FOGGY.png
PIDNet-M,SegFormer-B5,10901081,Day-FOGGY,0.9236143313209499,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9857290387153625,0.9857290387153625,/home/ace/Downloads/Dataset/Day/10901081_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/10901081_Day_FOGGY.png
PIDNet-M,SegFormer-B5,11101250,Sunset-FOGGY,0.607941452021198,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9681611657142639,0.9681611657142639,/home/ace/Downloads/Dataset/Day/11101250_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/11101250_Sunset_FOGGY.png
DDRNet-23,SegFormer-B5,10901081,Day-FOGGY,0.5054313173828908,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9857290387153625,0.9857290387153625,/home/ace/Downloads/Dataset/Day/10901081_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/10901081_Day_FOGGY.png
DDRNet-23,SegFormer-B5,11101250,Sunset-FOGGY,0.14047236284130432,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9681611657142639,0.9681611657142639,/home/ace/Downloads/Dataset/Day/11101250_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/11101250_Sunset_FOGGY.png
SegFormer-B0,SegFormer-B5,11131433,Day-RAIN,0.915577074678937,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9826337695121765,0.9826337695121765,/home/ace/Downloads/Dataset/Day/11131433_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/11131433_Day_RAIN.png
SegFormer-B0,SegFormer-B5,1119803,Sunset-RAIN,0.9183023681143428,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9738677144050598,0.9738677144050598,/home/ace/Downloads/Dataset/Day/1119803_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1119803_Sunset_RAIN.png
SegFormer-B2,SegFormer-B5,11131433,Day-RAIN,0.927947153903354,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9826337695121765,0.9826337695121765,/home/ace/Downloads/Dataset/Day/11131433_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/11131433_Day_RAIN.png
SegFormer-B2,SegFormer-B5,1119803,Sunset-RAIN,0.9391555165928217,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9738677144050598,0.9738677144050598,/home/ace/Downloads/Dataset/Day/1119803_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1119803_Sunset_RAIN.png
SegFormer-B5,SegFormer-B5,11131433,Day-RAIN,0.9409188243253065,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9826337695121765,0.9826337695121765,/home/ace/Downloads/Dataset/Day/11131433_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/11131433_Day_RAIN.png
SegFormer-B5,SegFormer-B5,1119803,Sunset-RAIN,0.9585994627204488,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9738677144050598,0.9738677144050598,/home/ace/Downloads/Dataset/Day/1119803_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1119803_Sunset_RAIN.png
Mask2Former-Swin-S,SegFormer-B5,11131433,Day-RAIN,0.8908704622076608,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9826337695121765,0.9826337695121765,/home/ace/Downloads/Dataset/Day/11131433_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/11131433_Day_RAIN.png
Mask2Former-Swin-S,SegFormer-B5,1119803,Sunset-RAIN,0.9361075100669399,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9738677144050598,0.9738677144050598,/home/ace/Downloads/Dataset/Day/1119803_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1119803_Sunset_RAIN.png
Mask2Former-Swin-L,SegFormer-B5,11131433,Day-RAIN,0.9400242649237668,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9826337695121765,0.9826337695121765,/home/ace/Downloads/Dataset/Day/11131433_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/11131433_Day_RAIN.png
