model,reference_model,class_id,class_name,retention_masked_global,mass_clean_masked_global,mass_reference_masked_global,metric_type,conf_threshold
Mask2Former-Swin-L,SegFormer-B5,10,sky,0.9049996159863425,49620631.0,49620631.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,11,person,0.7372497451457043,165781.0,165781.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,12,rider,0.7290701713756369,34544.0,34544.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,13,car,0.9151222936760854,4239099.0,4239099.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,14,truck,0.5245772299630821,470232.0,470232.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,15,bus,0.0,2544.0,2544.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,16,train,0.06093894542090657,25944.0,25944.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,17,motorcycle,0.6594899880198528,29215.0,29215.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,18,bicycle,0.26914878935181635,65213.0,65213.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,0,road,0.9753536056842281,55167948.0,55167948.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,1,sidewalk,0.4800531549119175,5598730.0,5598730.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,2,building,0.8243721367413176,26891126.0,26891126.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,3,wall,0.323957231956621,3889072.0,3889072.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,4,fence,0.46567841669064675,2338747.0,2338747.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,5,pole,0.5835986836345817,1930467.0,1930467.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,6,traffic light,0.6998173143901061,76087.0,76087.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,7,traffic sign,0.40091611913694114,241235.0,241235.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,8,vegetation,0.8652384604977287,25085874.0,25085874.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,9,terrain,0.27779909663422325,3009855.0,3009855.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,10,sky,0.8236904524652257,49620631.0,49620631.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,11,person,0.7313262677870203,165781.0,165781.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,12,rider,0.6057202408522464,34544.0,34544.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,13,car,0.8139578717081153,4239099.0,4239099.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,14,truck,0.3413485258340564,470232.0,470232.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,15,bus,0.0,2544.0,2544.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,16,train,0.07427536231884058,25944.0,25944.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,17,motorcycle,0.7301728564093788,29215.0,29215.0,reference_clean_vs_model_adverse,0.6
DeepLabV3+-R101,SegFormer-B5,18,bicycle,0.18191158204652447,65213.0,65213.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,0,road,0.8796386445259845,55167948.0,55167948.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,1,sidewalk,0.21205559117871375,5598730.0,5598730.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,2,building,0.7315226963720299,26891126.0,26891126.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,3,wall,0.235115729407941,3889072.0,3889072.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,4,fence,0.23055636201778132,2338747.0,2338747.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,5,pole,0.406866317839155,1930467.0,1930467.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,6,traffic light,0.5602271084416524,76087.0,76087.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,7,traffic sign,0.2874085435363857,241235.0,241235.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,8,vegetation,0.7859628091889483,25085874.0,25085874.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,9,terrain,0.08297110658154629,3009855.0,3009855.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,10,sky,0.5753805710370753,49620631.0,49620631.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,11,person,0.6899644711999565,165781.0,165781.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,12,rider,0.4562586845761927,34544.0,34544.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,13,car,0.4757409534431727,4239099.0,4239099.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,14,truck,0.5239179809115501,470232.0,470232.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,15,bus,0.0,2544.0,2544.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,16,train,0.35804039469626886,25944.0,25944.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,17,motorcycle,0.5612527811055964,29215.0,29215.0,reference_clean_vs_model_adverse,0.6
PIDNet-M,SegFormer-B5,18,bicycle,0.163663686688237,65213.0,65213.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,0,road,0.378880251264738,55167948.0,55167948.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,1,sidewalk,0.06068697722519214,5598730.0,5598730.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,2,building,0.8961877609736386,26891126.0,26891126.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,3,wall,0.02490542731016551,3889072.0,3889072.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,4,fence,0.025101902856529586,2338747.0,2338747.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,5,pole,0.2301660686248457,1930467.0,1930467.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,6,traffic light,0.520732845295517,76087.0,76087.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,7,traffic sign,0.26391278214189484,241235.0,241235.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,8,vegetation,0.685557298103307,25085874.0,25085874.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,9,terrain,0.018743760081465718,3009855.0,3009855.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,10,sky,0.28653339777158415,49620631.0,49620631.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,11,person,0.3849596757167589,165781.0,165781.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,12,rider,0.5848193608151923,34544.0,34544.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,13,car,0.6268398072326219,4239099.0,4239099.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,14,truck,0.17309753483386925,470232.0,470232.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,15,bus,0.0,2544.0,2544.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,16,train,0.0,25944.0,25944.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,17,motorcycle,0.48396371726852644,29215.0,29215.0,reference_clean_vs_model_adverse,0.6
DDRNet-23,SegFormer-B5,18,bicycle,0.00018401239016760463,65213.0,65213.0,reference_clean_vs_model_adverse,0.6
