model,reference_model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,mass_reference_masked,metric_type,conf_threshold
SegFormer-B0,SegFormer-B5,Day-FOGGY,18,bicycle,0.0,2187.0,2187.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,0,road,0.9725221832308167,9139336.0,9139336.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,1,sidewalk,0.43826739488878047,1102594.0,1102594.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,2,building,0.8171503499809113,4706971.0,4706971.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,3,wall,0.6229808656122608,581623.0,581623.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,4,fence,0.6921906115589905,675405.0,675405.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,5,pole,0.5282234873533339,394689.0,394689.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,6,traffic light,0.08314505196565748,4426.0,4426.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,7,traffic sign,0.7006157909187182,76487.0,76487.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,8,vegetation,0.9030058763703063,3572103.0,3572103.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,9,terrain,0.4012891630808578,289335.0,289335.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,10,sky,0.9780379078920763,9025825.0,9025825.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,11,person,0.576862213179609,35388.0,35388.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,12,rider,0.7817403708987162,11216.0,11216.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,13,car,0.8376767439245074,391244.0,391244.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,14,truck,0.14932721712538227,32700.0,32700.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,15,bus,0.0,1340.0,1340.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,16,train,0.39482683878425895,20761.0,20761.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,17,motorcycle,0.5749123722872698,13409.0,13409.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,18,bicycle,0.0,1157.0,1157.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,0,road,0.9625724298264821,6887356.0,6887356.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,1,sidewalk,0.6722856370857145,392302.0,392302.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,2,building,0.8450774108997212,3601560.0,3601560.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,3,wall,0.644898152125436,486559.0,486559.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,4,fence,0.6117752373137391,214484.0,214484.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,5,pole,0.38119736830453993,225862.0,225862.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,6,traffic light,0.4045313837844958,15183.0,15183.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,7,traffic sign,0.27529370506750833,11406.0,11406.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,8,vegetation,0.7493235007736376,1729492.0,1729492.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,9,terrain,0.5407659827611848,154651.0,154651.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,10,sky,0.9479211494226136,6706254.0,6706254.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,11,person,0.31023978754979303,25606.0,25606.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,12,rider,0.41855616366953347,3837.0,3837.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,13,car,0.6786194286547372,658481.0,658481.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,14,truck,0.14674453280318092,72432.0,72432.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,15,bus,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,16,train,0.0,12.0,12.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,17,motorcycle,0.3087300557789597,15418.0,15418.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,18,bicycle,0.0,20698.0,20698.0,reference_clean_vs_model_adverse,0.6
